Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,alpha.oil,alpha.oilMean,arc_length,nut,p,pMean,p_rgh,vtkValidPointMask
308,-0.0055,0.005848,0,0.00802802,-3.97859,4.90435,0.89961,6.37896,-5.57958,11.0608,-1.36277,12.4632,0.00176024,0.0228535,0.001848,6.38728e-06,949.569,1410.24,949.658,1
309,-0.0055,0.005854,0,0.00803239,-4.02896,5.01816,0.906401,6.49892,-5.57269,11.0048,-1.38456,12.4128,0.00176139,0.0228567,0.001854,6.3743e-06,949.48,1406.78,949.568,1
310,-0.0055,0.00586,0,0.00803677,-4.07953,5.13219,0.913098,6.61934,-5.56602,10.9491,-1.40615,12.3629,0.00176256,0.0228608,0.00186,6.36493e-06,949.383,1403.32,949.472,1
311,-0.0055,0.005866,0,0.00804114,-4.1303,5.24644,0.9197,6.74021,-5.55958,10.8938,-1.42755,12.3134,0.00176374,0.0228658,0.001866,6.35917e-06,949.281,1399.89,949.369,1
312,-0.0055,0.005872,0,0.00804552,-4.18127,5.36092,0.926208,6.86151,-5.55335,10.8387,-1.44875,12.2644,0.00176493,0.0228718,0.001872,6.35701e-06,949.171,1396.47,949.26,1
313,-0.0055,0.005878,0,0.0080499,-4.23244,5.47562,0.932623,6.98324,-5.54735,10.7839,-1.46976,12.2158,0.00176614,0.0228786,0.001878,6.35843e-06,949.055,1393.07,949.144,1
314,-0.0055,0.005884,0,0.00805428,-4.28379,5.59053,0.938944,7.10539,-5.54156,10.7293,-1.49056,12.1676,0.00176736,0.0228865,0.001884,6.36343e-06,948.932,1389.69,949.022,1
315,-0.0055,0.00589,0,0.00805867,-4.32308,5.72143,0.944034,7.23291,-5.5243,10.6429,-1.52769,12.0882,0.00176687,0.0229143,0.00189,6.30816e-06,949.18,1384.91,949.269,1
316,-0.0055,0.005896,0,0.00806305,-4.35754,5.85875,0.948543,7.36294,-5.50249,10.5452,-1.57108,11.9978,0.00176572,0.0229535,0.001896,6.22728e-06,949.559,1379.6,949.648,1
317,-0.0055,0.005902,0,0.00806744,-4.39207,5.99629,0.952893,7.49359,-5.48064,10.4487,-1.61391,11.9087,0.00176467,0.0229983,0.001902,6.14659e-06,949.923,1374.32,950.012,1
318,-0.0055,0.005908,0,0.00807183,-4.42668,6.13407,0.957084,7.62485,-5.45873,10.3533,-1.65619,11.8209,0.00176371,0.0230486,0.001908,6.06609e-06,950.271,1369.09,950.36,1
319,-0.0055,0.005914,0,0.00807622,-4.46135,6.27207,0.961117,7.75669,-5.43678,10.2592,-1.6979,11.7342,0.00176285,0.0231045,0.001914,5.98579e-06,950.604,1363.9,950.693,1
320,-0.0055,0.00592,0,0.00808062,-4.49611,6.4103,0.964993,7.88912,-5.41477,10.1662,-1.73907,11.6488,0.00176208,0.0231658,0.00192,5.90569e-06,950.921,1358.75,951.01,1
321,-0.0055,0.005926,0,0.00808502,-4.53093,6.54877,0.968711,8.0221,-5.39272,10.0744,-1.77968,11.5647,0.00176141,0.0232326,0.001926,5.82577e-06,951.223,1353.65,951.313,1
322,-0.0055,0.005932,0,0.00808941,-4.56583,6.68746,0.972272,8.15563,-5.37061,9.98371,-1.81973,11.4817,0.00176084,0.0233049,0.001932,5.74605e-06,951.51,1348.58,951.6,1
323,-0.0055,0.005938,0,0.00809382,-4.6008,6.82638,0.975676,8.28968,-5.34846,9.89422,-1.85924,11.3999,0.00176035,0.0233827,0.001938,5.66652e-06,951.782,1343.56,951.871,1
324,-0.0055,0.005944,0,0.00809822,-4.63585,6.96553,0.978924,8.42425,-5.32626,9.80589,-1.89819,11.3193,0.00175997,0.0234659,0.001944,5.58718e-06,952.039,1338.58,952.128,1
325,-0.0055,0.00595,0,0.00810262,-4.67096,7.10491,0.982016,8.55932,-5.30401,9.71872,-1.9366,11.24,0.00175967,0.0235545,0.00195,5.50803e-06,952.28,1333.65,952.37,1
326,-0.0055,0.005956,0,0.00810703,-4.70615,7.24451,0.984953,8.69487,-5.28172,9.63272,-1.97446,11.1617,0.00175947,0.0236485,0.001956,5.42908e-06,952.506,1328.75,952.596,1
327,-0.0055,0.005962,0,0.00811144,-4.74141,7.38433,0.987735,8.83091,-5.25937,9.54786,-2.01177,11.0847,0.00175936,0.023748,0.001962,5.35031e-06,952.717,1323.9,952.807,1
328,-0.0055,0.005968,0,0.00811585,-4.77674,7.52438,0.990362,8.96741,-5.23698,9.46416,-2.04854,11.0088,0.00175935,0.0238528,0.001968,5.27174e-06,952.914,1319.08,953.003,1
329,-0.0055,0.005974,0,0.00812026,-4.81214,7.66465,0.992835,9.10435,-5.21455,9.38162,-2.08476,10.934,0.00175943,0.023963,0.001974,5.19335e-06,953.095,1314.31,953.185,1
330,-0.0055,0.00598,0,0.00812468,-4.84761,7.80515,0.995154,9.24175,-5.19207,9.30022,-2.12043,10.8604,0.0017596,0.0240785,0.00198,5.11516e-06,953.261,1309.58,953.351,1
331,-0.0055,0.005986,0,0.0081291,-4.92119,7.95899,0.987624,9.40952,-5.16293,9.20911,-2.14589,10.7735,0.00179269,0.0251483,0.001986,4.95827e-06,953.272,1311.21,953.364,1
332,-0.0055,0.005992,0,0.00813351,-5.01295,8.1203,0.975695,9.59276,-5.132,9.11739,-2.16531,10.6842,0.00184384,0.0266559,0.001992,4.76839e-06,953.24,1315.83,953.335,1
333,-0.0055,0.005998,0,0.00813794,-5.10667,8.28364,0.963567,9.77881,-5.10234,9.0303,-2.18264,10.5992,0.00189946,0.0281931,0.001998,4.57993e-06,953.231,1320.72,953.329,1
334,-0.0055,0.006004,0,0.00814236,-5.20234,8.449,0.951241,9.96769,-5.07394,8.94783,-2.1979,10.5185,0.00195952,0.0297599,0.002004,4.39287e-06,953.245,1325.89,953.346,1
335,-0.0055,0.00601,0,0.00814678,-5.29996,8.61638,0.938718,10.1594,-5.04681,8.86997,-2.21109,10.442,0.00202403,0.0313561,0.00201,4.20722e-06,953.282,1331.33,953.386,1
336,-0.0055,0.006016,0,0.00815121,-5.39952,8.78578,0.925997,10.3538,-5.02093,8.7967,-2.22221,10.3697,0.00209297,0.0329817,0.002016,4.02299e-06,953.341,1337.05,953.449,1
337,-0.0055,0.006022,0,0.00815564,-5.50102,8.95718,0.91308,10.5511,-4.99632,8.72803,-2.23128,10.3015,0.00216635,0.0346367,0.002022,3.84016e-06,953.424,1343.04,953.536,1
338,-0.0055,0.006028,0,0.00816007,-5.60446,9.1306,0.899966,10.7512,-4.97296,8.66393,-2.23829,10.2374,0.00224413,0.0363209,0.002028,3.65874e-06,953.53,1349.31,953.645,1
339,-0.0055,0.006034,0,0.00816451,-5.70982,9.306,0.886658,10.954,-4.95085,8.60441,-2.24325,10.1774,0.00232633,0.0380342,0.002034,3.47874e-06,953.658,1355.85,953.778,1
340,-0.0055,0.00604,0,0.00816894,-5.81711,9.48342,0.873153,11.1596,-4.92999,8.54945,-2.24617,10.1214,0.00241293,0.0397767,0.00204,3.30012e-06,953.809,1362.66,953.933,1
341,-0.0055,0.006046,0,0.00817338,-5.92633,9.66282,0.859453,11.3679,-4.91038,8.49904,-2.24705,10.0695,0.00250392,0.0415483,0.002046,3.12291e-06,953.982,1369.74,954.112,1
342,-0.0055,0.006052,0,0.00817782,-6.03746,9.84422,0.845558,11.5791,-4.89201,8.45317,-2.24589,10.0216,0.00259929,0.043349,0.002052,2.9471e-06,954.178,1377.09,954.313,1
343,-0.0055,0.006058,0,0.00818226,-6.15051,10.0276,0.83147,11.7929,-4.87489,8.41183,-2.2427,9.97763,0.00269905,0.0451785,0.002058,2.77269e-06,954.397,1384.72,954.537,1
344,-0.0055,0.006064,0,0.0081867,-6.26546,10.213,0.817187,12.0095,-4.85901,8.37502,-2.23748,9.93767,0.00280317,0.0470369,0.002064,2.59968e-06,954.638,1392.61,954.784,1
345,-0.0055,0.00607,0,0.00819115,-6.38232,10.4003,0.802711,12.2288,-4.84437,8.34272,-2.23024,9.90166,0.00291164,0.0489242,0.00207,2.42807e-06,954.902,1400.78,955.053,1
346,-0.0055,0.006076,0,0.00819559,-6.50108,10.5896,0.788043,12.4509,-4.83096,8.31493,-2.22098,9.8696,0.00302447,0.0508402,0.002076,2.25785e-06,955.189,1409.21,955.345,1
347,-0.0055,0.006082,0,0.00820004,-6.81432,10.9423,0.765328,12.9133,-4.95503,8.51847,-2.17143,10.0912,0.00437306,0.0556183,0.002082,2.11704e-06,967.078,1581.06,967.306,1
348,-0.0055,0.006088,0,0.0082045,-7.25081,11.3992,0.737721,13.53,-5.1687,8.87157,-2.09645,10.4793,0.00653433,0.0622091,0.002088,1.99501e-06,986.54,1857.38,986.881,1
349,-0.0055,0.006094,0,0.00820895,-7.69159,11.8609,0.710133,14.1544,-5.38838,9.23459,-2.01989,10.8808,0.00875514,0.0688616,0.002094,1.8744e-06,1006.48,2137.68,1006.94,1
350,-0.0055,0.0061,0,0.0082134,-8.13669,12.3274,0.682559,14.7863,-5.61411,9.60755,-1.94172,11.2957,0.0110358,0.0755767,0.0021,1.7552e-06,1026.9,2422.02,1027.48,1
351,-0.0055,0.006106,0,0.00821786,-8.58609,12.7985,0.655001,15.4257,-5.84584,9.99043,-1.86196,11.7239,0.013376,0.0823537,0.002106,1.63741e-06,1047.8,2710.35,1048.5,1
352,-0.0055,0.006112,0,0.00822232,-9.03977,13.2745,0.62746,16.0724,-6.08359,10.3832,-1.78061,12.1652,0.0157758,0.0891927,0.002112,1.52104e-06,1069.17,3002.68,1070,1
353,-0.0055,0.006118,0,0.00822678,-9.49773,13.7551,0.599934,16.7263,-6.32734,10.7859,-1.69767,12.6195,0.0182351,0.0960934,0.002118,1.40607e-06,1091.03,3298.99,1091.98,1
354,-0.0055,0.006124,0,0.00823124,-9.95996,14.2404,0.572425,17.3873,-6.57707,11.1984,-1.61315,13.0868,0.0207538,0.103056,0.002124,1.2925e-06,1113.35,3599.28,1114.44,1
355,-0.0055,0.00613,0,0.00823571,-10.4265,14.7304,0.54493,18.0553,-6.8328,11.6208,-1.52705,13.5669,0.0233318,0.11008,0.00213,1.18035e-06,1136.16,3903.54,1137.38,1
356,-0.0055,0.006136,0,0.00824018,-10.8972,15.2251,0.517451,18.7302,-7.09449,12.053,-1.43937,14.0598,0.0259692,0.117165,0.002136,1.06959e-06,1159.44,4211.77,1160.8,1
357,-0.0055,0.006142,0,0.00824464,-11.3722,15.7245,0.489987,19.4121,-7.36216,12.495,-1.35012,14.5654,0.0286658,0.124312,0.002142,9.60245e-07,1183.19,4523.96,1184.7,1
358,-0.0055,0.006148,0,0.00824912,-11.8514,16.2286,0.462538,20.1007,-7.63578,12.9469,-1.25931,15.0835,0.0314215,0.13152,0.002148,8.52297e-07,1207.42,4840.1,1209.07,1
359,-0.0055,0.006154,0,0.00825359,-12.3349,16.7373,0.435106,20.7961,-7.91534,13.4085,-1.16693,15.6142,0.0342362,0.138788,0.002154,7.45758e-07,1232.12,5160.16,1233.91,1
360,-0.0055,0.00616,0,0.00825806,-12.8226,17.2507,0.407686,21.4982,-8.20086,13.8799,-1.07299,16.1573,0.0371102,0.146118,0.00216,6.40608e-07,1257.29,5484.19,1259.24,1
